City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,New Norfolk,AU,2021-01-17 02:17:18,-42.7826,147.0587,63.0,62,98,11.99
92,Fortuna,US,2021-01-17 02:17:18,40.5982,-124.1573,50.0,100,90,10.36
93,Arraial Do Cabo,BR,2021-01-17 02:14:55,-22.9661,-42.0278,75.69,84,0,26.78
94,Bandarbeyla,SO,2021-01-17 02:17:18,9.4942,50.8122,72.66,76,0,10.33
95,Ancud,CL,2021-01-17 02:14:09,-41.8697,-73.8203,55.0,87,75,3.44
96,Mahebourg,MU,2021-01-17 02:17:18,-20.4081,57.7,78.8,83,40,8.05
97,Bondoukou,CI,2021-01-17 02:17:18,8.0333,-2.8,72.66,21,40,3.8
98,Xai-Xai,MZ,2021-01-17 02:15:07,-25.0519,33.6442,78.1,92,100,11.34
99,Mecca,SA,2021-01-17 02:17:18,21.4267,39.8261,68.23,74,0,4.79
100,Pisco,PE,2021-01-17 02:17:18,-13.7,-76.2167,68.0,83,0,17.27
101,Chokurdakh,RU,2021-01-17 02:17:18,70.6333,147.9167,-17.32,88,100,12.15
102,Emba,KZ,2021-01-17 02:17:18,48.8264,58.1442,11.07,93,0,8.48
103,Tasiilaq,GL,2021-01-17 02:17:18,65.6145,-37.6368,30.2,93,75,3.44
104,Sovetskaya Gavan,RU,2021-01-17 02:17:18,48.9723,140.2878,1.15,75,1,4.0
105,Zhezkazgan,KZ,2021-01-17 02:17:18,47.8043,67.7144,10.85,95,0,1.83
106,Carnarvon,AU,2021-01-17 02:17:18,-24.8667,113.6333,96.8,41,95,17.27
107,Cochrane,CA,2021-01-17 02:12:32,51.1834,-114.4687,37.4,59,75,4.61
108,Pangnirtung,CA,2021-01-17 02:17:19,66.1451,-65.7125,8.35,91,100,4.9
109,Iberia,US,2021-01-17 02:17:19,29.9502,-91.7507,44.6,61,1,3.67
110,Port Elizabeth,ZA,2021-01-17 02:17:19,-33.918,25.5701,68.0,77,20,14.97
111,Dzhebariki-Khaya,RU,2021-01-17 02:17:19,62.2167,135.8,-38.81,80,100,0.27
112,Flinders,AU,2021-01-17 02:17:19,-34.5833,150.8552,81.0,49,75,11.5
113,Narathiwat,TH,2021-01-17 02:17:19,6.3333,101.75,80.6,78,40,6.91
114,Zhuhai,CN,2021-01-17 02:17:19,22.2769,113.5678,62.01,58,40,21.85
115,Laukaa,RU,2021-01-17 02:17:19,58.7372,29.8453,2.39,94,81,4.09
116,Kailua,US,2021-01-17 02:16:31,21.4022,-157.7394,80.6,61,40,4.61
117,Skjervoy,NO,2021-01-17 02:17:19,70.0311,20.9714,36.41,95,100,16.55
118,Saint-Pierre,RE,2021-01-17 02:17:19,-21.3393,55.4781,78.8,73,0,5.75
119,Busselton,AU,2021-01-17 02:17:19,-33.65,115.3333,80.01,41,0,4.0
120,Torbay,CA,2021-01-17 02:17:19,47.6666,-52.7314,33.01,100,90,18.41
121,Kushima,JP,2021-01-17 02:17:19,31.4583,131.2333,50.0,43,20,25.32
122,Miri,MY,2021-01-17 02:13:15,4.4148,114.0089,77.0,94,40,5.75
123,Morant Bay,JM,2021-01-17 02:17:20,17.8815,-76.4093,80.6,78,75,2.3
124,San Patricio,US,2021-01-17 02:17:20,28.017,-97.5169,52.0,62,1,9.22
125,Izumo,JP,2021-01-17 02:17:20,35.3667,132.7667,44.6,49,40,20.71
126,Sao Filipe,CV,2021-01-17 02:17:20,14.8961,-24.4956,71.46,75,100,12.06
127,Thompson,CA,2021-01-17 02:15:08,55.7435,-97.8558,5.0,78,90,14.97
128,San Jose,US,2021-01-17 02:14:39,37.3394,-121.895,64.4,63,40,4.61
129,Isiro,CD,2021-01-17 02:17:20,2.7739,27.616,64.18,89,10,1.83
130,Cherskiy,RU,2021-01-17 02:17:20,68.75,161.3,-21.96,87,100,3.22
131,Lekoni,GA,2021-01-17 02:17:20,-1.5843,14.2591,71.64,86,45,5.19
132,Portland,US,2021-01-17 02:12:45,45.5234,-122.6762,46.4,76,90,5.75
133,Ilulissat,GL,2021-01-17 02:15:31,69.2167,-51.1,15.8,45,4,20.71
134,Arman,RU,2021-01-17 02:17:20,59.7,150.1667,-11.83,80,100,11.14
135,Pagudpud,PH,2021-01-17 02:17:20,18.5616,120.7868,78.8,73,20,25.32
136,Entre Rios,BR,2021-01-17 02:17:20,-11.9419,-38.0844,70.25,95,1,3.13
137,Coahuayana,MX,2021-01-17 02:17:20,18.7333,-103.6833,73.4,53,75,0.63
138,Ilhabela,BR,2021-01-17 02:15:09,-23.7781,-45.3581,77.59,81,100,3.6
139,Sidi Ali,DZ,2021-01-17 02:17:20,36.0998,0.4206,43.79,81,0,3.98
140,Bandar-E Lengeh,IR,2021-01-17 02:17:20,26.5579,54.8807,63.41,64,0,2.68
141,Port Lincoln,AU,2021-01-17 02:17:20,-34.7333,135.8667,66.54,64,90,11.54
142,Trinidad,BO,2021-01-17 02:15:18,-14.8333,-64.9,76.41,89,100,4.5
143,Cidreira,BR,2021-01-17 02:17:21,-30.1811,-50.2056,73.58,91,100,12.15
144,Cap-Aux-Meules,CA,2021-01-17 02:17:21,47.3821,-61.8597,33.8,86,100,19.57
145,Geraldton,AU,2021-01-17 02:17:21,-28.7667,114.6,84.2,42,75,19.57
146,College,US,2021-01-17 02:17:21,64.8569,-147.8028,-4.0,77,75,4.61
147,Leningradskiy,RU,2021-01-17 02:17:21,69.3833,178.4167,-20.99,86,100,3.11
148,Saint-Philippe,RE,2021-01-17 02:17:21,-21.3585,55.7679,78.8,73,0,5.75
149,Camacha,PT,2021-01-17 02:17:21,33.0833,-16.3333,59.0,77,40,10.36
150,Merauke,ID,2021-01-17 02:17:21,-8.4667,140.3333,87.84,64,100,5.19
151,Elat,IL,2021-01-17 02:17:21,29.5581,34.9482,57.2,54,0,1.77
152,Lompoc,US,2021-01-17 02:17:21,34.6391,-120.4579,66.0,59,0,13.8
153,Kodiak,US,2021-01-17 02:17:21,57.79,-152.4072,37.4,93,90,7.34
154,Nanortalik,GL,2021-01-17 02:17:21,60.1432,-45.2371,24.28,94,100,3.62
155,Hambantota,LK,2021-01-17 02:17:21,6.1241,81.1185,73.4,100,75,5.75
156,Talnakh,RU,2021-01-17 02:15:21,69.4865,88.3972,-25.51,68,0,6.78
157,Tautira,PF,2021-01-17 02:17:22,-17.7333,-149.15,86.0,66,40,12.66
158,Ucluelet,CA,2021-01-17 02:15:08,48.9329,-125.5528,46.99,93,90,4.61
159,Los Llanos De Aridane,ES,2021-01-17 02:17:22,28.6585,-17.9182,62.6,59,40,8.05
160,Saskylakh,RU,2021-01-17 02:17:22,71.9167,114.0833,-22.32,86,94,7.54
161,Gat,IL,2021-01-17 02:16:00,31.61,34.7642,53.01,57,0,3.0
162,Okhotsk,RU,2021-01-17 02:17:22,59.3833,143.3,-14.58,81,51,13.38
163,Areka,ET,2021-01-17 02:17:22,7.0667,37.7,62.02,44,83,4.43
164,Avarua,CK,2021-01-17 02:17:22,-21.2078,-159.775,86.0,66,40,5.75
165,Ban Nahin,LA,2021-01-17 02:17:22,18.2418,104.2122,73.31,51,4,6.93
166,Buraydah,SA,2021-01-17 02:17:22,26.326,43.975,51.8,93,0,6.91
167,Vestmanna,FO,2021-01-17 02:17:22,62.1564,-7.1664,42.8,93,75,13.8
168,Kalangala,UG,2021-01-17 02:17:22,-0.3089,32.225,70.93,71,100,0.72
169,Zhigalovo,RU,2021-01-17 02:17:22,54.8097,105.1578,-19.25,83,100,2.86
170,Beloha,MG,2021-01-17 02:16:01,-25.1667,45.05,75.72,68,48,3.49
171,Kharp,RU,2021-01-17 02:17:22,66.8014,65.8081,-12.41,85,45,5.66
172,Hithadhoo,MV,2021-01-17 02:17:22,-0.6,73.0833,81.1,75,100,12.24
173,Bahir Dar,ET,2021-01-17 02:17:23,11.5936,37.3908,59.86,48,44,2.84
174,Clyde River,CA,2021-01-17 02:17:23,70.4692,-68.5914,3.2,92,90,28.77
175,Hokitika,NZ,2021-01-17 02:17:23,-42.7167,170.9667,63.43,79,40,16.2
176,Christchurch,NZ,2021-01-17 02:17:23,-43.5333,172.6333,80.01,31,0,19.57
177,Sao Felix Do Xingu,BR,2021-01-17 02:17:23,-6.6447,-51.995,70.9,94,100,1.61
178,Narsaq,GL,2021-01-17 02:17:23,60.9167,-46.05,19.4,49,90,4.61
179,Lakselv,NO,2021-01-17 02:17:23,70.0513,24.9718,33.8,75,40,9.22
180,Tamano,JP,2021-01-17 02:17:23,34.4833,133.95,45.0,52,75,17.27
181,Port Alfred,ZA,2021-01-17 02:17:23,-33.5906,26.891,64.0,94,39,4.0
182,Longjiang,CN,2021-01-17 02:17:23,47.3303,123.1836,2.53,81,100,3.56
183,Kanker,IN,2021-01-17 02:17:23,20.2719,81.4931,58.68,36,0,2.28
184,Bodden Town,KY,2021-01-17 02:17:23,19.2833,-81.25,77.0,83,40,10.36
185,Aykhal,RU,2021-01-17 02:17:23,66.0,111.5,-35.46,81,100,5.26
186,Tessalit,ML,2021-01-17 02:14:56,20.1986,1.0114,54.01,30,73,9.91
187,Barrow,US,2021-01-17 02:15:02,71.2906,-156.7887,-0.4,78,90,19.57
188,Fairbanks,US,2021-01-17 02:17:23,64.8378,-147.7164,-4.0,77,1,3.62
189,Zatoka,UA,2021-01-17 02:17:23,46.0725,30.4654,6.8,72,0,13.42
190,Cheremukhovo,RU,2021-01-17 02:17:23,60.3484,59.9851,-8.9,91,100,3.38
191,Luziania,BR,2021-01-17 02:17:24,-16.2525,-47.9503,66.2,94,75,1.14
192,Bambous Virieux,MU,2021-01-17 02:17:24,-20.3428,57.7575,79.0,83,40,8.05
193,Hervey Bay,AU,2021-01-17 02:17:24,-25.2986,152.8535,86.0,69,89,3.0
194,Trancoso,MX,2021-01-17 02:17:24,22.7333,-102.3667,59.0,31,1,11.5
195,Acapulco,MX,2021-01-17 02:17:24,16.8634,-99.8901,78.8,83,75,0.72
196,Odweyne,SO,2021-01-17 02:17:24,9.4092,45.064,62.38,36,0,5.73
197,Severo-Kurilsk,RU,2021-01-17 02:17:24,50.6789,156.125,33.71,92,100,6.71
198,Hauterive,FR,2021-01-17 02:17:24,46.0901,3.4459,42.8,75,90,6.91
199,Bograd,RU,2021-01-17 02:17:24,54.2344,90.8328,6.8,78,100,4.47
200,Tamiahua,MX,2021-01-17 02:17:24,21.2667,-97.45,63.72,71,100,4.56
201,La Reforma,MX,2021-01-17 02:17:24,25.0833,-108.05,61.0,71,0,3.91
202,Chapais,CA,2021-01-17 02:17:24,49.7834,-74.8492,26.6,93,90,9.22
203,Komsomolskiy,UZ,2021-01-17 02:17:24,40.4272,71.7189,32.0,64,0,6.91
204,Bahia Blanca,AR,2021-01-17 02:17:24,-38.7196,-62.2724,66.34,42,96,9.98
205,Kavieng,PG,2021-01-17 02:17:24,-2.5744,150.7967,84.85,72,19,18.32
206,Peace River,CA,2021-01-17 02:17:24,56.2501,-117.286,30.2,69,90,14.97
207,Harare,ZW,2021-01-17 02:17:24,-17.8294,31.0539,66.0,89,100,3.0
208,Borgarnes,IS,2021-01-17 02:17:25,64.5383,-21.9206,36.0,87,75,18.41
209,Altamira,BR,2021-01-17 02:17:25,-3.2033,-52.2064,74.28,86,100,2.66
210,Navrongo,GH,2021-01-17 02:16:14,10.8956,-1.0921,70.86,20,87,8.19
211,Conceicao Do Araguaia,BR,2021-01-17 02:17:12,-8.2578,-49.2647,72.93,95,100,3.47
212,Mogadishu,SO,2021-01-17 02:14:36,2.0371,45.3438,75.92,85,0,18.61
213,Westport,US,2021-01-17 02:13:49,41.1415,-73.3579,37.99,65,1,8.05
214,Ulaangom,MN,2021-01-17 02:17:25,49.9811,92.0667,-19.53,86,95,1.95
215,Buala,SB,2021-01-17 02:17:25,-8.145,159.5921,86.85,59,88,7.09
216,Cavalcante,BR,2021-01-17 02:17:25,-13.7975,-47.4583,67.6,86,84,2.53
217,Abu Samrah,SY,2021-01-17 02:17:25,35.3029,37.1841,50.5,68,100,12.26
218,Hoi An,VN,2021-01-17 02:17:25,15.8794,108.335,73.4,78,75,5.75
219,Ankara,TR,2021-01-17 02:14:02,39.9199,32.8543,32.0,100,90,10.36
220,Dunmore Town,BS,2021-01-17 02:17:25,25.5,-76.65,70.11,61,100,13.82
221,Vysotsk,RU,2021-01-17 02:17:25,60.6288,28.5705,3.0,95,64,6.17
222,Takhatgarh,IN,2021-01-17 02:17:25,25.3333,73.0,53.8,71,0,1.59
223,Cao Bang,VN,2021-01-17 02:17:25,22.6667,106.25,50.99,62,100,10.85
224,Luena,AO,2021-01-17 02:15:07,-11.7833,19.9167,62.06,96,100,4.61
225,Itarema,BR,2021-01-17 02:17:26,-2.9248,-39.9167,78.21,84,9,11.1
226,Grindavik,IS,2021-01-17 02:14:28,63.8424,-22.4338,35.6,87,75,21.85
227,Pevek,RU,2021-01-17 02:17:26,69.7008,170.3133,-20.9,84,37,2.51
228,Alofi,NU,2021-01-17 02:17:26,-19.0595,-169.9187,86.0,62,99,6.91
229,Tiksi,RU,2021-01-17 02:17:26,71.6872,128.8694,-17.77,89,100,11.36
230,Nakhon Si Thammarat,TH,2021-01-17 02:17:26,8.25,100.0,84.2,79,20,4.61
231,Viedma,AR,2021-01-17 02:17:26,-40.8135,-62.9967,59.0,75,47,11.27
