City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Kavali,IN,14.9167,79.9833,72.09,79,28,5.17,scattered clouds
166,Hurricane,US,37.1753,-113.2899,46.4,42,1,1.43,clear sky
167,Atambua,ID,-9.1061,124.8925,74.41,88,100,2.86,light rain
168,Victoria,HK,22.2855,114.1577,57.0,50,51,1.01,broken clouds
169,Coffs Harbour,AU,-30.3,153.1333,66.2,88,59,5.01,broken clouds
170,Cherskiy,RU,68.75,161.3,-28.01,84,100,2.06,overcast clouds
171,Olga,RU,43.7444,135.2892,0.37,85,0,4.81,clear sky
172,Bozdar,PK,27.1828,68.636,53.6,66,0,4.61,haze
173,Aklavik,CA,68.2191,-135.0107,-16.6,76,75,2.3,broken clouds
174,Fukue,JP,32.6881,128.8419,41.54,67,99,13.42,overcast clouds
175,Magadan,RU,59.5667,150.8,-10.37,88,100,11.88,light snow
176,Norman Wells,CA,65.282,-126.8329,-14.8,76,75,3.44,broken clouds
177,Lata,PT,40.1629,-8.3327,51.01,78,39,1.72,scattered clouds
178,Nhamunda,BR,-2.1861,-56.7131,92.08,47,63,1.48,broken clouds
179,Mbandaka,CD,0.0487,18.2603,75.16,80,91,3.74,overcast clouds
180,Xuzhou,CN,34.1805,117.1571,33.12,73,0,9.93,clear sky
181,Lompoc,US,34.6391,-120.4579,68.0,47,0,8.05,clear sky
182,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,17.6,86,90,4.47,snow
183,Chokurdakh,RU,70.6333,147.9167,-25.11,86,100,7.43,overcast clouds
184,Flinders,AU,-34.5833,150.8552,62.6,77,75,4.61,broken clouds
185,Kangaatsiaq,GL,68.3065,-53.4641,15.31,94,100,17.63,overcast clouds
186,Teluknaga,ID,-6.0989,106.6381,81.0,89,75,4.61,haze
187,Bambous Virieux,MU,-20.3428,57.7575,81.0,83,40,11.5,scattered clouds
188,Naze,JP,28.3667,129.4833,51.06,80,93,15.01,overcast clouds
189,Ancud,CL,-41.8697,-73.8203,64.4,63,0,5.75,clear sky
190,Wisconsin Rapids,US,44.3836,-89.8174,28.99,69,75,9.22,broken clouds
191,Port Alfred,ZA,-33.5906,26.891,69.01,86,8,9.19,clear sky
192,Porto Santo,PT,33.072,-16.3415,59.0,67,75,9.22,broken clouds
193,Najran,SA,17.4924,44.1277,69.8,28,0,4.61,clear sky
194,Luderitz,NA,-26.6481,15.1594,67.5,71,24,15.52,few clouds
195,Salalah,OM,17.0151,54.0924,73.4,49,0,4.61,clear sky
196,Rosetta,EG,31.4044,30.4164,55.4,88,40,11.5,scattered clouds
197,Oga,IT,46.4631,10.347,33.01,100,75,1.14,light snow
198,Tigil,RU,57.8,158.6667,14.18,92,100,11.77,overcast clouds
199,Pisco,PE,-13.7,-76.2167,77.0,61,0,11.5,clear sky
200,Nouakchott,MR,18.0858,-15.9785,78.8,7,98,13.8,sand
201,Portel,BR,-1.9356,-50.8211,88.27,60,25,3.11,scattered clouds
202,Krasnaya Gora,RU,52.9995,31.6023,3.2,78,90,8.95,light snow
203,Narsaq,GL,60.9167,-46.05,23.0,74,100,4.61,overcast clouds
204,Talnakh,RU,69.4865,88.3972,-14.55,72,99,7.07,overcast clouds
205,Omsukchan,RU,62.5333,155.8,-35.57,80,100,7.47,overcast clouds
206,Heiligenhafen,DE,54.3667,10.9833,30.2,74,90,8.05,overcast clouds
207,Esna,EG,25.2934,32.554,62.6,48,0,4.61,clear sky
208,Camopi,GF,3.1655,-52.3158,73.06,98,100,1.39,heavy intensity rain
209,Kupang,ID,-10.1667,123.5833,79.12,83,100,2.35,light rain
210,Concordia,AR,-31.393,-58.0209,77.0,47,75,23.02,broken clouds
211,Ostrovnoy,RU,68.0531,39.5131,17.19,95,100,8.9,overcast clouds
212,Noumea,NC,-22.2763,166.4572,80.01,100,0,2.3,clear sky
213,Gondanglegi,ID,-7.7479,112.0132,74.86,90,100,3.53,moderate rain
214,Collierville,US,35.042,-89.6645,50.0,32,1,11.5,clear sky
215,Esperance,AU,-33.8667,121.9,57.2,82,0,10.36,clear sky
216,Hami,CN,42.8,93.45,15.28,74,0,1.48,clear sky
217,Vaitape,PF,-16.5167,-151.75,81.05,77,9,15.3,clear sky
218,Kununurra,AU,-15.7667,128.7333,80.6,94,60,1.14,broken clouds
219,Isla Vista,US,34.4133,-119.861,78.01,29,1,3.44,clear sky
220,Isangel,VU,-19.55,169.2667,79.38,81,95,4.21,overcast clouds
221,Opmeer,NL,52.7067,4.9444,41.0,91,18,1.01,few clouds
222,Clyde River,CA,70.4692,-68.5914,6.8,92,90,26.46,snow
223,Los Alamos,US,35.8881,-106.307,41.0,40,1,3.67,clear sky
224,Chardara,KZ,41.2547,67.9692,45.93,57,98,5.1,overcast clouds
225,Luleburgaz,TR,41.4039,27.3592,23.0,74,0,6.91,clear sky
226,Sao Filipe,CV,14.8961,-24.4956,74.8,65,0,9.84,clear sky
227,Andros,GR,37.8333,24.9333,42.01,53,25,3.0,scattered clouds
228,Ponta Do Sol,PT,32.6667,-17.1,60.8,63,75,10.36,broken clouds
229,Novo Aripuana,BR,-5.1206,-60.3797,91.15,50,98,3.56,overcast clouds
230,Chernyanka,RU,50.9409,37.8069,-0.06,92,99,4.27,light snow
231,Auki,SB,-8.7676,160.7034,78.17,86,89,4.05,overcast clouds
232,Kirkwall,GB,58.9848,-2.9587,41.0,87,40,20.71,scattered clouds
233,Ongandjera,NA,-17.8833,15.0667,85.14,23,100,6.62,overcast clouds
234,Belaya Gora,RU,68.5333,146.4167,-37.12,83,83,0.83,broken clouds
235,Rocky Mountain House,CA,52.3668,-114.9188,24.8,80,84,1.14,broken clouds
236,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,84,90,10.36,light snow
237,Skibbereen,IE,51.55,-9.2667,41.0,87,75,5.75,broken clouds
238,Nurota,UZ,40.5614,65.6886,42.8,56,99,11.5,overcast clouds
239,Antalaha,MG,-14.9003,50.2788,78.76,86,5,4.88,light rain
240,Ukiah,US,39.1502,-123.2078,63.0,81,1,1.72,clear sky
241,Yebaishou,CN,41.3975,119.6408,4.42,84,58,5.5,broken clouds
242,Saldanha,ZA,-33.0117,17.9442,78.8,47,7,14.97,clear sky
243,Wakkanai,JP,45.4094,141.6739,19.13,95,93,9.95,light snow
244,Port Macquarie,AU,-31.4333,152.9167,63.0,94,89,1.01,overcast clouds
245,Baykit,RU,61.67,96.37,-19.64,82,100,5.64,overcast clouds
246,Kenai,US,60.5544,-151.2583,35.01,86,90,13.8,light rain
247,Paldiski,EE,59.3567,24.0531,24.01,93,20,3.44,few clouds
248,Hasaki,JP,35.7333,140.8333,32.0,86,75,5.75,broken clouds
249,Madera,US,37.1666,-119.8343,66.99,59,0,1.01,clear sky
250,Fairhope,US,30.523,-87.9033,55.4,46,1,5.75,clear sky
251,Ylojarvi,FI,61.5563,23.5961,18.0,93,75,2.3,broken clouds
252,Pangnirtung,CA,66.1451,-65.7125,-5.8,77,40,2.3,scattered clouds
253,Torbay,CA,47.6666,-52.7314,35.01,100,90,14.97,light rain
254,Quatre Cocos,MU,-20.2078,57.7625,81.0,83,40,11.5,scattered clouds
255,Cruzeiro Do Sul,BR,-29.5128,-51.9853,84.99,68,100,2.17,overcast clouds
256,Xining,CN,36.6167,101.7667,16.11,60,0,2.77,clear sky
257,Bowen,AU,-20.0167,148.2333,77.0,88,90,8.05,light rain
258,Nanortalik,GL,60.1432,-45.2371,29.89,96,100,3.18,overcast clouds
259,Anadyr,RU,64.75,177.4833,-11.0,77,20,6.71,light snow
260,Broome,US,42.2506,-75.833,36.0,80,90,13.8,light snow
261,Sisimiut,GL,66.9395,-53.6735,18.99,93,100,24.81,light snow
262,Sheridan,US,44.8333,-106.9173,37.4,60,90,2.95,overcast clouds
263,Asau,RO,46.4333,26.4,19.4,86,90,3.44,overcast clouds
264,Poya,NC,-21.35,165.15,77.56,89,100,6.62,overcast clouds
265,Nago,JP,26.5881,127.9761,57.2,62,90,8.05,overcast clouds
266,Lorengau,PG,-2.0226,147.2712,83.03,76,86,14.09,overcast clouds
267,Trairi,BR,-3.2778,-39.2689,86.36,57,24,14.94,few clouds
268,Mashhad,IR,36.297,59.6062,44.6,49,0,4.94,clear sky
269,Saint-Philippe,RE,-21.3585,55.7679,82.4,78,20,5.75,few clouds
270,Monrovia,LR,6.3005,-10.7969,87.8,70,20,3.44,few clouds
271,Egvekinot,RU,66.3167,-179.1667,-14.31,87,100,10.98,overcast clouds
272,Carnarvon,AU,-24.8667,113.6333,82.4,89,35,6.91,scattered clouds
273,Rehoboth,NA,-23.3167,17.0833,83.14,28,33,5.68,scattered clouds
274,Tevaitoa,PF,-16.7833,-151.5,80.96,77,3,14.85,clear sky
275,Nantucket,US,41.2835,-70.0995,42.8,56,20,33.38,few clouds
276,Lebu,CL,-37.6167,-73.65,61.88,68,0,21.41,clear sky
277,Muros,ES,42.7762,-9.0603,57.0,86,66,1.01,broken clouds
278,Bijar,IR,35.8668,47.6051,31.42,95,39,10.09,scattered clouds
279,Stornoway,GB,58.2093,-6.3865,43.0,81,40,11.5,scattered clouds
280,Bilma,NE,18.6853,12.9164,68.9,23,62,12.66,broken clouds
281,Faanui,PF,-16.4833,-151.75,81.05,77,9,15.35,clear sky
282,Mangrol,IN,21.1167,70.1167,68.68,66,0,6.35,clear sky
283,Usinsk,RU,65.9939,57.5281,-24.36,86,37,8.79,scattered clouds
284,Tura,IN,25.5198,90.2201,60.21,62,0,3.83,clear sky
285,Otane,NZ,-39.8833,176.6333,57.0,78,34,5.99,scattered clouds
286,Bolshaya Sosnova,RU,57.6713,54.6029,-9.9,89,57,5.46,broken clouds
287,Dali,CN,25.7,100.1833,37.11,87,99,5.19,overcast clouds
288,Mount Gambier,AU,-37.8333,140.7667,55.4,100,90,6.91,overcast clouds
289,Itoman,JP,26.1247,127.6694,59.0,63,40,16.11,scattered clouds
290,Marana,US,32.4367,-111.2254,68.0,12,5,1.99,clear sky
291,Sur,OM,22.5667,59.5289,67.62,66,0,5.32,clear sky
292,Prince Rupert,CA,54.3161,-130.3201,44.6,93,90,9.22,light rain
293,Fomboni,KM,-12.28,43.7425,82.99,76,5,9.86,clear sky
294,Piacabucu,BR,-10.4056,-36.4344,83.44,60,5,13.49,clear sky
295,Husavik,IS,66.0449,-17.3389,32.0,93,90,3.44,snow
296,Dingle,PH,10.9995,122.6711,75.34,90,100,7.81,light rain
297,Visby,SE,57.6409,18.296,32.0,59,75,9.22,broken clouds
298,Pemex,MX,18.4395,-96.3461,76.1,62,58,7.07,broken clouds
299,Amuntai,ID,-2.4177,115.2494,73.8,84,100,1.48,overcast clouds
300,Joshimath,IN,30.5667,79.5667,47.62,38,19,3.85,few clouds
301,Maniitsoq,GL,65.4167,-52.9,19.89,93,100,18.19,light snow
302,Fortuna,US,40.5982,-124.1573,50.0,93,1,10.36,clear sky
303,Itupiranga,BR,-5.1347,-49.3267,93.2,55,20,2.3,moderate rain
304,Goya,AR,-29.14,-59.2626,80.78,36,79,11.48,broken clouds
305,Dunedin,NZ,-45.8742,170.5036,52.0,77,94,14.72,overcast clouds
306,Paita,PE,-5.0892,-81.1144,86.0,54,0,13.8,clear sky
307,Pacific Grove,US,36.6177,-121.9166,64.0,55,1,11.18,clear sky
308,Rio Grande,BR,-32.035,-52.0986,80.6,74,75,6.91,broken clouds
309,Hamilton,US,39.1834,-84.5333,36.0,87,90,8.05,light snow
310,Banda Aceh,ID,5.5577,95.3222,78.85,85,37,11.41,moderate rain
311,Klaksvik,FO,62.2266,-6.589,37.4,93,75,13.8,light rain
312,Burnie,AU,-41.0667,145.9167,58.3,84,96,13.82,overcast clouds
313,Mporokoso,ZM,-9.3727,30.125,63.48,95,52,2.28,light rain
314,Koshurnikovo,RU,54.1667,93.3,9.12,97,98,3.51,light snow
315,Gobabis,NA,-22.45,18.9667,79.09,34,83,9.62,broken clouds
316,Perth,AU,-31.9333,115.8333,84.0,18,0,16.11,clear sky
317,Mana,GF,5.6592,-53.7767,81.3,76,78,11.81,broken clouds
318,Neryungri,RU,56.6709,124.6491,-45.47,74,16,4.12,few clouds
319,Progreso,MX,21.2833,-89.6667,75.0,56,75,6.91,broken clouds
320,Hlobyne,UA,49.3878,33.2596,5.4,93,100,3.94,overcast clouds
321,Geraldton,AU,-28.7667,114.6,84.2,48,89,5.75,overcast clouds
322,Maromitsa,RU,59.8683,48.0123,-13.14,89,32,3.0,scattered clouds
323,Saint-Pierre,RE,-21.3393,55.4781,82.4,78,20,5.75,few clouds
324,North Bend,US,43.4065,-124.2243,48.99,93,1,7.56,clear sky
325,Litovko,RU,49.2361,135.1742,-5.94,91,100,1.57,overcast clouds
326,Peachland,CA,49.7665,-119.7357,37.0,80,96,6.91,overcast clouds
327,Padang,ID,-0.9492,100.3543,77.0,94,75,2.3,heavy intensity rain
328,Buin,CL,-33.7333,-70.75,91.99,21,0,4.61,clear sky
329,Palaia Fokaia,GR,37.72,23.9463,39.99,48,20,8.05,few clouds
330,San Julian,MX,21.0167,-102.1667,66.83,26,81,9.13,broken clouds
331,Xushan,CN,30.1764,121.2457,35.01,80,0,2.24,clear sky
332,Tolbazy,RU,54.0241,55.8825,-0.4,85,75,8.95,broken clouds
333,Soverato,IT,38.685,16.5499,44.6,93,90,6.91,moderate rain
334,Xinmin,CN,41.9908,122.8253,6.8,61,0,4.47,clear sky
335,Tashla,RU,51.7716,52.7427,-6.07,91,44,3.4,scattered clouds
336,Illela,NG,13.7292,5.2975,80.96,15,73,8.39,broken clouds
337,Pak Phanang,TH,8.3511,100.202,76.95,79,42,9.24,scattered clouds
338,Tezu,IN,27.9167,96.1667,62.96,47,8,3.98,clear sky
339,Muravlenko,RU,63.7898,74.523,-3.96,92,96,8.48,overcast clouds
340,Tepeojuma,MX,18.7167,-98.45,62.6,59,40,4.21,scattered clouds
341,Arlit,NE,18.7369,7.3853,72.93,19,100,15.48,overcast clouds
342,Katsuura,JP,35.1333,140.3,39.2,65,0,8.05,clear sky
343,Pemberton,CA,50.3164,-122.8027,42.01,93,90,3.44,overcast clouds
344,Lagos,NG,6.5833,3.75,86.0,74,40,9.22,scattered clouds
345,Ribeira Grande,PT,38.5167,-28.7,60.8,94,75,23.02,light rain
346,Mwinilunga,ZM,-11.7358,24.4293,64.87,94,91,2.77,light rain
347,Tommot,RU,58.9564,126.2925,-47.2,73,40,0.76,scattered clouds
348,Marzuq,YE,14.4,46.4667,63.57,55,52,2.42,broken clouds
349,Kitimat,CA,54.0524,-128.6534,41.0,97,100,4.79,light rain
350,Verkhnetulomskiy,RU,68.6073,31.7962,28.4,93,75,2.24,light snow
