City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
382,Cidreira,BR,80.38,moderate rain,-30.1811,-50.2056,Hotel Castelo
383,Sechura,PE,82.89,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
384,Alugan,PH,79.23,overcast clouds,12.2188,125.4808,JM Lodge
389,Kattivakkam,IN,77.0,mist,13.2167,80.3167,Raj's villa
390,Kibala,TD,87.8,clear sky,9.1104,18.3463,
392,Gizo,SB,83.62,broken clouds,-8.103,156.8419,Imagination Island
398,Acajutla,SV,80.6,clear sky,13.5928,-89.8275,asi es
399,Yambio,SS,79.11,broken clouds,4.5721,28.3955,Naivasha Hotel
400,Alofi,NU,80.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
401,Hambantota,LK,76.98,overcast clouds,6.1241,81.1185,Bungalow 63
406,Tsabong,BW,83.71,few clouds,-26.0217,22.401,Springbok Motel
407,Santiago Del Estero,AR,84.99,clear sky,-27.7951,-64.2615,Hotel Urbano
412,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
414,Kalmunai,LK,77.2,overcast clouds,7.4167,81.8167,VS Villa
415,Galle,LK,77.94,broken clouds,6.0367,80.217,Amangalla
416,San Policarpo,PH,79.61,overcast clouds,12.1791,125.5072,JM Lodge
417,Mahebourg,MU,80.6,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
419,Daru,PG,81.1,light rain,-9.0763,143.2092,Daru Lodge
429,Samarai,PG,82.99,scattered clouds,-10.6167,150.6667,Nuli Sapi
432,Maldonado,UY,75.0,broken clouds,-34.6667,-54.9167,La Cimarrona
435,Bairiki,KI,78.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
439,Inirida,CO,84.49,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
443,Dakoro,NE,79.03,scattered clouds,14.5106,6.765,Shagon mai liverpool
445,Petit Goave,HT,87.8,few clouds,18.4314,-72.8669,Imperial Suite International
456,Viedma,AR,78.01,clear sky,-40.8135,-62.9967,Hotel Cristal
461,Belmonte,BR,86.0,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
464,Mouila,GA,76.66,light rain,-1.8685,11.0559,Hôtel du Lac Bleu
